overall_number_of_episode;us_viewers_in_mln
1;9.52
2;8.58
3;8.36
4;8.15
5;8.81
6;8.92
7;9.68
8;9.32
9;9.11
10;8.63
11;8.68
12;7.69
13;7.51
14;8.07
15;7.38
16;7.79
17;7.34
18;9.36
19;8.76
20;9.33
21;9.36
22;9.28
23;9.67
24;10.01
25;9.76
26;10.19
27;10.80
28;11.42
29;11.81
30;11.10
31;10.89
32;13.11
33;10.94
34;9.46
35;9.76
36;9.77
37;10.13
38;9.31
39;9.25
40;9.81
41;12.96
42;13.27
43;12.52
44;13.07
45;13.47
46;12.73
47;12.79
48;13.23
49;14.13
50;14.38
51;15.58
52;15.82
53;14.99
54;15.51
55;16.26
56;15.73
57;16.32
58;13.42
59;13.39
60;11.63
61;13.73
62;15.02
63;14.78
64;14.04
65;13.05
66;12.59
67;12.57
68;13.05
69;13.04
70;14.00
71;13.11
72;13.02
73;12.03
74;13.24
75;13.98
76;13.63
77;13.83
78;12.79
79;12.41
80;12.35
81;12.06
82;11.92
83;11.40
84;10.71
85;10.50
86;10.78
87;11.30
88;14.30
89;14.94
90;14.74
91;13.92
92;13.58
93;14.93
94;14.54
95;15.98
96;15.89
97;15.05
98;14.02
99;16.13
100;15.83
101;16.13
102;16.54
103;16.21
104;15.65
105;16.20
106;15.04
107;13.96
108;13.29
109;12.65
110;13.91
111;13.72
112;15.66
113;15.18
114;14.23
115;15.73
116;15.82
117;15.90
118;16.68
119;17.63
120;17.25
121;16.94
122;16.77
123;19.25
124;20.00
125;17.76
126;18.98
127;17.89
128;17.62
129;17.63
130;15.90
131;17.24
132;15.05
133;16.29
134;16.30
135;15.48
136;18.99
137;20.44
138;18.22
139;17.64
140;17.80
141;16.98
142;16.89
143;18.30
144;18.94
145;15.63
146;17.68
147;19.20
148;20.35
149;19.05
150;17.53
151;17.73
152;18.09
153;17.34
154;17.73
155;16.49
156;16.44
157;16.07
158;14.42
159;16.73
160;18.08
161;18.30
162;18.44
163;17.94
164;17.63
165;18.02
166;18.25
167;18.56
168;16.90
169;16.61
170;18.49
171;18.11
172;17.25
173;17.09
174;17.49
175;16.67
176;18.17
177;18.13
178;16.89
179;16.78
180;16.02
181;16.63
182;15.85
183;17.64
184;18.20
185;15.23
186;15.40
187;14.96
188;14.68
189;16.32
190;14.81
191;14.92
192;15.19
193;15.27
194;17.23
195;15.85
196;15.75
197;15.29
198;16.25
199;15.24
200;15.94
201;14.68
202;14.24
203;13.50
204;14.16
205;14.13
206;13.22
207;14.73
208;15.82
209;14.24
210;14.32
211;14.41
212;14.20
213;14.31
214;14.18
215;14.47
216;14.34
217;14.54
218;15.96
219;16.80
220;15.15
221;14.66
222;14.15
223;13.51
224;13.38
225;13.08
226;12.78
227;12.59
228;11.89
229;12.52
230;12.39
231;12.99
232;17.65
233;14.06
234;13.13
235;13.07
236;13.20
237;14.14
238;13.80
239;13.44
240;13.84
241;14.41
242;13.74
243;16.16
244;15.93
245;14.92
246;14.69
247;13.75
248;13.88
249;13.26
250;13.00
251;12.77
252;12.91
253;11.79
254;12.93
255;15.51
256;12.92
257;12.04
258;12.29
259;12.94
260;12.22
261;12.99
262;12.64
263;12.85
264;12.56
265;12.52
266;12.80
267;13.53
268;13.32
269;13.66
270;13.97
271;13.48
272;12.99
273;12.22
274;11.44
275;11.84
276;12.48
277;12.59
278;18.52
279;18.52
